Job_name,Job_description,Posting_date,Experience,Location,Company_name,Job_application_link,Type
What makes Texplorers the right place for you,"Fast Grow Great Colleagues Take Charge Continuous Learning Technology Stack Cross Domain Exposure Fast growing company Join a company that is expanding rapidly, providing ample opportunities for career growth and advancement. Be a part of a team that is constantly evolving and pushing boundaries in their industry. Great Colleagues Work alongside a team of highly motivated and talented individuals who share your passion for excellence. Build strong relationships with supportive and collaborative colleagues who are dedicated to achieving common goals. Take Charge Take ownership of your work and make a significant impact on the company’s success. Be empowered to take charge and make decisions that drive the company forward, while receiving support and guidance from leadership. Continuous Learning Continuous learning is essential in today’s rapidly evolving business landscape. Join a company",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Fast growing company,"Join a company that is expanding rapidly, providing ample opportunities for career growth and advancement. Be a part of a team that is constantly evolving and pushing boundaries in their industry.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Great Colleagues,Work alongside a team of highly motivated and talented individuals who share your passion for excellence. Build strong relationships with supportive and collaborative colleagues who are dedicated to achieving common goals.,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Take Charge,"Take ownership of your work and make a significant impact on the company’s success. Be empowered to take charge and make decisions that drive the company forward, while receiving support and guidance from leadership.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Continuous Learning,"Continuous learning is essential in today’s rapidly evolving business landscape. Join a company that encourages and supports your personal and professional growth, providing access to training, mentorship, and development programs.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Technology Stack,"Work with the latest and greatest technology, keeping you at the forefront of your field. Utilize cutting-edge tools and resources to deliver innovative solutions and stay ahead of the competition.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Cross Domain Exposure,"Gain exposure to multiple domains and industries, broadening your skillset and knowledge base. Work on diverse projects that challenge you to think creatively and expand your expertise in new areas.",05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Senior Java Developer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Senior BI Engineer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Senior AI Engineer,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Senior Software Engineer,,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Solutions Architect,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Solutions Development Lead,Full-Time,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Workplace Benefits,Health Insurance Comprehensive health coverage to keep you and your family protected. Fun & Fitness Engaging activities and fitness perks to promote a balanced lifestyle. Rewards & Recognition Celebrating achievements through meaningful rewards and appreciation. Mental Health Access to mental wellness resources to support your emotional well-being.,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Health Insurance,Comprehensive health coverage to keep you and your family protected.,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Fun & Fitness,Engaging activities and fitness perks to promote a balanced lifestyle.,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Rewards & Recognition,Celebrating achievements through meaningful rewards and appreciation.,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Mental Health,Access to mental wellness resources to support your emotional well-being.,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Texplorers HR,HR Department,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Quick links,About Us Advisory Engineering Digital Analytics Careers Privacy policy,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
Industries,Public Sector Financial Services Retail Sector,05_05_2026,Not specified,"Lewisville, TX / USA",Texplorers Inc,https://www.texplorers.com/careers-2/,onsite
